base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max
DESHPDHK0000lce9,V2,11,214218.80063948993,2732.3762973511703,212584.3057335194,217373.1830975816
DESHPDHK0000lce9,V2,19,40609.687685082485,1965.522500037493,38962.1329022073,42785.29758323918
DESHPDHK0000lce9,V2,18,223275.82822217516,2784.8431053392596,221264.1649795908,226454.27563328887
DESHPDHK0000lce9,V2,17,241868.78815080793,3154.431252459146,239693.24930531133,245486.5199399349
DESHPDHK0000lce9,V2,16,207956.6990704505,2684.723655018815,206148.0669131341,211041.4688618617
DESHPDHK0000lce9,V2,15,39769.81978014442,2063.895975342195,38109.040252663806,42080.42071728522
DESHPDHK0000lce9,V2,13,93693.72647146582,2173.076326079617,92421.144897045,96202.89280747843
DESHPDHK0000lce9,V2,12,247592.21872712616,3080.158204469828,245579.89488062583,251138.12258946532
DESHPDHK0000lce9,V2,10,106324.62024281586,2373.47202431725,104946.29672749102,109065.25407329416
DESHPDHK0000lce9,V2,14,93517.17928196357,2152.809608059015,91995.946689653,95980.43404785349
DESHPDHK0000lce9,V2,8,208225.68335572165,2715.226530105551,206202.1171232249,211311.43365753812
DESHPDHK0000lce9,V2,1,227410.62432925074,2522.3992215998724,225451.8743607825,230256.8072184116
DESHPDHK0000lce9,V2,2,82524.85032566874,2160.4240312974757,81226.7419795556,85018.79420716893
DESHPDHK0000lce9,V2,3,204166.00214817465,2789.250967660185,202202.9713087555,207358.8075541163
DESHPDHK0000lce9,V2,4,110413.73599261284,2140.455640577576,108897.35829069864,112862.19090195643
DESHPDHK0000lce9,V2,0,214949.47421192806,2714.4345457101886,212945.3136552272,218038.576351728
DESHPDHK0000lce9,V2,5,101832.2853737989,2230.1772820500223,100135.33002149558,104358.24557104844
DESHPDHK0000lce9,V2,6,117326.76690892463,2309.028809705419,115792.66779996574,119982.33942777816
DESHPDHK0000lce9,V2,7,83517.59468545772,2605.663917185593,81722.06867390919,86506.18269723139
DESHPDHK0000lce9,V2,9,109977.58684096563,2210.000799148096,108567.85641011044,112524.62431122604
DESHPDHK0000lce9,V3,10,106187.02631925147,2097.286141494405,104605.71297117107,108566.13986418604
DESHPDHK0000lce9,V3,18,217218.945642986,2271.774287904314,215493.9431290624,219792.9471659136
DESHPDHK0000lce9,V3,17,236333.32959979345,2889.245415184089,234045.60142906403,239580.1591941004
DESHPDHK0000lce9,V3,16,205423.2006514369,2487.873299635053,203334.6760395179,208175.6966252807
DESHPDHK0000lce9,V3,15,38238.22113624841,1970.4472300090658,36793.312963488366,40482.79301224552
DESHPDHK0000lce9,V3,14,88352.29836206896,1745.0201640961207,87191.72766750428,90359.08366388698
DESHPDHK0000lce9,V3,13,102250.18339102615,2014.2958968556172,100890.84894290828,104564.33688107492
DESHPDHK0000lce9,V3,12,245949.07066050576,2523.9910289444933,244135.75495165135,248831.6954476544
DESHPDHK0000lce9,V3,11,228002.52188108108,2724.2556740719565,225969.77388373212,231097.96313748643
DESHPDHK0000lce9,V3,19,42847.21947758309,2279.514680882272,41093.56168059126,45423.96026457356
DESHPDHK0000lce9,V3,9,117806.03689608896,2166.521604665786,116521.63530782548,120307.41769321484
DESHPDHK0000lce9,V3,7,93866.67564116135,2672.653303279363,91913.4310992432,96912.52542477589
DESHPDHK0000lce9,V3,6,107092.46574479656,2149.068731604577,105414.35369667946,109514.6993895388
DESHPDHK0000lce9,V3,5,98589.63516470969,2149.7025129871336,97148.09361665764,101060.4600431202
DESHPDHK0000lce9,V3,4,103484.79952811867,1949.7272044844085,102344.5399385929,105736.08732356962
DESHPDHK0000lce9,V3,3,202281.0779792145,2612.6720743373025,200434.2439457708,205270.39877097224
DESHPDHK0000lce9,V3,2,85164.86813850305,1962.3477194089041,83993.14678950768,87430.34495429632
DESHPDHK0000lce9,V3,1,219400.53160757254,2567.8519940522315,217885.6632186066,222365.39511835124
DESHPDHK0000lce9,V3,0,211208.16851903443,2575.2777348922905,209101.74010788396,214079.14919018096
DESHPDHK0000lce9,V3,8,228440.96902856193,2975.2095123127947,226646.9112072516,231875.2974963256
DESHPDHK0000lce9,V4,12,248154.26780848476,3438.4012548239293,245742.0668915035,252091.4062090884
DESHPDHK0000lce9,V4,13,104888.38847393806,2617.1202673251646,103050.40653878717,107884.8021953574
