variant,building_id,weather_key,seed,sample_id,run_dir,timeseries_csv,n_total_zones,n_residential_zones,annual_heat_demand_kWh,peak_heat_demand_kW,peak_timestamp,peak_zone_heat_demand_kW,peak_zone_number,peak_zone_name,overheating_threshold_C,overheating_hours_mean_zone,overheating_hours_max_zone,overheated_zone_number,overheated_zone_name,mean_indoor_temp_C
V1,DESHPDHK0000lce9_1,TRY_B,2,0,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_2\timeseries.csv,1,1,170357424.61107683,62198.62890625,2021-01-01T04:00:00,62198.62890625,1,ThermalZone,26.0,58.0,58.0,1,ThermalZone,21.452907527161187
V1,DESHPDHK0000lce9_1,TRY_B,3,0,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_3\timeseries.csv,1,1,169927618.94167948,62333.84375,2021-01-01T04:00:00,62333.84375,1,ThermalZone,26.0,54.0,54.0,1,ThermalZone,21.44991204277348
V1,DESHPDHK0000lce9_1,TRY_B,1,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_1\timeseries.csv,1,1,169378411.04818916,57376.70703125,2021-01-01T04:00:00,57376.70703125,1,ThermalZone,26.0,7.0,7.0,1,ThermalZone,20.88789056717651
V1,DESHPDHK0000lce9_1,TRY_B,2,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_2\timeseries.csv,1,1,165446293.0888195,57221.49609375,2021-01-01T04:00:00,57221.49609375,1,ThermalZone,26.0,11.0,11.0,1,ThermalZone,20.907373430042878
V1,DESHPDHK0000lce9_1,TRY_B,3,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_3\timeseries.csv,1,1,165051407.12843132,57350.6953125,2021-01-01T04:00:00,57350.6953125,1,ThermalZone,26.0,9.0,9.0,1,ThermalZone,20.904389350123928
V1,DESHPDHK0000lce9_1,TRY_B,1,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_1\timeseries.csv,1,1,165693152.43931198,58304.62109375,2021-01-01T04:00:00,58304.62109375,1,ThermalZone,26.0,22.0,22.0,1,ThermalZone,21.03484735679389
V1,DESHPDHK0000lce9_1,TRY_B,2,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_2\timeseries.csv,1,1,161730026.59632778,58150.109375,2021-01-01T04:00:00,58150.109375,1,ThermalZone,26.0,34.0,34.0,1,ThermalZone,21.056829303122743
V1,DESHPDHK0000lce9_1,TRY_B,3,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_3\timeseries.csv,1,1,161281336.56437016,58278.57421875,2021-01-01T04:00:00,58278.57421875,1,ThermalZone,26.0,30.0,30.0,1,ThermalZone,21.05400772120854
V1,DESHPDHK0000lce9_1,TRY_B,1,7,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_1\timeseries.csv,1,1,67051223.8224144,59525.203125,2021-01-01T01:00:00,59525.203125,1,ThermalZone,26.0,60.0,60.0,1,ThermalZone,21.912965622096305
V1,DESHPDHK0000lce9_1,TRY_B,2,7,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_2\timeseries.csv,1,1,63178218.921043634,59412.48828125,2021-01-01T01:00:00,59412.48828125,1,ThermalZone,26.0,75.0,75.0,1,ThermalZone,21.941064519308558
