base_building_group,sample_id,pair,delta,kpi
DESHPDHK0000lce9,34,V5 - V2,0.5667147521972637,peak_heating_kW
DESHPDHK0000lce9,33,V5 - V2,6.243676330566402,peak_heating_kW
DESHPDHK0000lce9,32,V5 - V2,5.0173745422363325,peak_heating_kW
DESHPDHK0000lce9,42,V5 - V2,3.2969334716796936,peak_heating_kW
DESHPDHK0000lce9,36,V5 - V2,-2.7193730926513666,peak_heating_kW
DESHPDHK0000lce9,43,V5 - V2,-2.4648692626953164,peak_heating_kW
DESHPDHK0000lce9,50,V5 - V2,3.3690285644531244,peak_heating_kW
DESHPDHK0000lce9,45,V5 - V2,6.853812255859367,peak_heating_kW
DESHPDHK0000lce9,46,V5 - V2,4.851367431640625,peak_heating_kW
DESHPDHK0000lce9,47,V5 - V2,1.8450498657226575,peak_heating_kW
DESHPDHK0000lce9,48,V5 - V2,7.870731933593746,peak_heating_kW
DESHPDHK0000lce9,49,V5 - V2,-5.021728271484378,peak_heating_kW
DESHPDHK0000lce9,51,V5 - V2,2.9146034545898516,peak_heating_kW
DESHPDHK0000lce9,52,V5 - V2,0.9921607971191406,peak_heating_kW
DESHPDHK0000lce9,53,V5 - V2,1.711146423339848,peak_heating_kW
DESHPDHK0000lce9,54,V5 - V2,1.6011937561035197,peak_heating_kW
DESHPDHK0000lce9,55,V5 - V2,4.733528213500975,peak_heating_kW
DESHPDHK0000lce9,56,V5 - V2,5.585380615234357,peak_heating_kW
DESHPDHK0000lce9,57,V5 - V2,1.985850769042969,peak_heating_kW
DESHPDHK0000lce9,30,V5 - V2,-2.7507650756835957,peak_heating_kW
DESHPDHK0000lce9,44,V5 - V2,0.5037264709472637,peak_heating_kW
DESHPDHK0000lce9,29,V5 - V2,0.10155731201172102,peak_heating_kW
DESHPDHK0000lce9,15,V5 - V2,-0.23499322509765364,peak_heating_kW
DESHPDHK0000lce9,27,V5 - V2,2.2355048217773543,peak_heating_kW
DESHPDHK0000lce9,0,V5 - V2,1.0228014831543035,peak_heating_kW
DESHPDHK0000lce9,1,V5 - V2,3.805161499023427,peak_heating_kW
DESHPDHK0000lce9,2,V5 - V2,0.9966605529785184,peak_heating_kW
DESHPDHK0000lce9,3,V5 - V2,0.19682199096678943,peak_heating_kW
DESHPDHK0000lce9,4,V5 - V2,-0.5419141235351645,peak_heating_kW
DESHPDHK0000lce9,5,V5 - V2,-2.891239807128912,peak_heating_kW
DESHPDHK0000lce9,6,V5 - V2,-2.1767741699218703,peak_heating_kW
DESHPDHK0000lce9,7,V5 - V2,2.0134617156982415,peak_heating_kW
DESHPDHK0000lce9,8,V5 - V2,6.460030822753893,peak_heating_kW
DESHPDHK0000lce9,9,V5 - V2,4.380542175292973,peak_heating_kW
DESHPDHK0000lce9,10,V5 - V2,0.8477574462890658,peak_heating_kW
DESHPDHK0000lce9,11,V5 - V2,14.613184020996101,peak_heating_kW
