base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V3,39,109654.12167560811,1511.185955055994,108425.3948869244,111858.37243792263,51.23593170166016,0.6753072432049458,50.48920434570312,52.11283374023437,2415.5,32.989897443510415,2391.0,2464.0,4.97204721339992,0.07864443856959327,4.855764980553467,5.027012097319844
DESHPDHK0000lce9,V3,42,209597.36273317275,1817.4691951084617,207697.95683717576,211869.0529157695,70.30305981445312,0.17539889718352505,70.0508671875,70.4308212890625,165.25,27.82534815595305,132.0,192.0,7.178987703997176,0.029506053218109562,7.135676488145933,7.198669343026805
DESHPDHK0000lce9,V3,41,226079.68047009935,2222.813778019202,223986.7434540644,228729.69267794784,80.87991162109375,0.14937291771675926,80.65701171875,80.97567431640626,90.75,9.7082439194738,79.0,102.0,6.4254003767961265,0.022910722420159062,6.393679460887565,6.445462245481799
DESHPDHK0000lce9,V3,40,72233.98183074096,1472.061414731371,70983.55659641128,74098.94158915048,42.6882041015625,0.43717761117472936,42.39364721679687,43.331150390625,2568.75,42.812576033995725,2524.0,2612.0,3.5976375897253736,0.081688252137968,3.4771137252788478,3.652360776586222
DESHPDHK0000lce9,V3,38,227855.88463512904,1780.5453094570912,226174.97528917587,230056.066992806,81.89527038574218,0.13915296653826925,81.688060546875,81.98417578125,219.25,20.205197351176757,189.0,231.0,7.0775956980184205,0.028416412400230736,7.035765580942667,7.097031181308457
DESHPDHK0000lce9,V3,32,87932.11568637466,1468.040905219102,86899.58587460533,90068.94482975388,46.58792694091797,0.4324904592496882,46.28674609375,47.22018701171875,2482.5,20.95232683975701,2459.0,2510.0,5.235052391133236,0.11346811680091765,5.073039819138085,5.326940502754129
DESHPDHK0000lce9,V3,36,37956.395998295004,1410.934383784557,36413.78837766841,39590.23517781519,31.42510241699219,0.9774571670465512,30.33853076171875,32.56924877929688,2768.75,42.78921203605723,2729.0,2821.0,4.860662604232787,0.04571573241396712,4.806894599105526,4.918329805588138
DESHPDHK0000lce9,V3,35,30996.100797669755,1364.5654429186297,29660.19702848585,32736.949699492638,28.235850616455078,1.1751365984729985,26.976695678710936,29.616052001953125,2615.5,37.598758844763296,2575.0,2648.0,4.613591581130598,0.044904046917637365,4.551478026814284,4.658546941517941
DESHPDHK0000lce9,V3,34,71896.14149322288,1235.8801136951038,70770.2605581289,73562.01185137563,44.78291265869141,0.5848837316379755,44.176138671875,45.58258569335938,2482.75,32.38698298185039,2446.0,2524.0,4.268096555464482,0.10665625663586072,4.115464320997578,4.362802875380773
DESHPDHK0000lce9,V3,33,92151.86913932455,2254.206851186798,89749.8699662657,94605.75206701735,76.66360473632812,0.18316435550951554,76.403203125,76.80562939453125,298.0,27.483328279765043,258.0,317.0,8.865563424751242,0.007819062566105298,8.854405514930788,8.871734096639006
DESHPDHK0000lce9,V3,44,91633.0955216837,1723.1587838893204,89727.33421199658,93632.06003992648,47.72638555908203,0.5066604513460417,47.267712158203125,48.26917626953125,2374.0,25.9358182185692,2339.0,2401.0,4.520224107181275,0.13323574465424756,4.326128671082471,4.627881815901306
DESHPDHK0000lce9,V3,37,90149.8842666291,1493.519948775798,89045.28118501502,92255.90751830448,47.76364892578125,0.48595396224758747,47.33779638671875,48.234886474609375,2566.5,38.99145205469185,2521.0,2608.0,4.629468251874821,0.12215261177269494,4.450826400410245,4.709922874998441
DESHPDHK0000lce9,V3,45,66998.90720091591,2003.3821127660851,64980.00634492534,69414.27309817247,71.78145373535156,0.14826669527439795,71.591041015625,71.89957080078125,606.5,36.1893170240427,563.0,648.0,8.129123138682022,0.03580047398335305,8.076040354374816,8.154382074114642
DESHPDHK0000lce9,V3,59,94600.16422798246,1667.0646073365358,93092.75810661558,96760.90413848626,47.60613983154297,0.8724141385617731,46.89927099609375,48.70997216796875,2495.5,35.632382276051466,2448.0,2531.0,4.174766023250731,0.10818977993780617,4.01348718112631,4.239157373754684
DESHPDHK0000lce9,V3,47,108754.9033438343,2063.8754596431068,106876.43211825458,111231.76417914972,49.75184417724609,0.5013519767868404,49.32168603515625,50.38965673828125,2243.25,67.10874259985306,2174.0,2308.0,5.185812911055512,0.09609876518536012,5.045610615739323,5.252965740111986
DESHPDHK0000lce9,V3,48,205263.49739630037,2090.5247728522227,203307.9028223966,208116.8263074645,74.5546123046875,0.17162884233651152,74.31932373046875,74.6860458984375,135.5,21.42428528562855,117.0,156.0,6.574649660571803,0.04128878829213786,6.514447880477047,6.608424287396963
DESHPDHK0000lce9,V3,49,249895.50278139376,2247.2966037155647,247235.0397220127,252480.58651296055,82.56495239257812,0.1636957861893353,82.32787841796875,82.68998486328125,154.25,29.915157807818208,125.0,182.0,8.273791207473666,0.03220755860578286,8.22555876741561,8.29229803208333
DESHPDHK0000lce9,V3,50,97563.8329358576,2145.241127821632,95282.83598508424,100305.084066131,48.83578643798828,0.6089894943405931,48.227081298828125,49.39653125,2445.0,47.462265713582056,2382.0,2497.0,5.099455505238728,0.13595628172226237,4.9078245272906935,5.226544606061087
DESHPDHK0000lce9,V3,51,221450.7631829624,2103.933018775041,219413.4763413369,224179.4425306077,77.22938720703125,0.16088689516457974,77.0054775390625,77.3578408203125,137.25,18.786076404259266,120.0,154.0,6.4405404291064805,0.038174919116993306,6.385331058839649,6.470510165150643
DESHPDHK0000lce9,V3,52,105872.87581564726,1721.4417822066087,104413.05421753858,108135.29893699654,49.73327221679688,0.4899883945168494,49.23995703125,50.22107568359375,2279.0,43.657759905886145,2229.0,2319.0,4.419582280295176,0.1114754140703873,4.255178095583857,4.50295659285024
DESHPDHK0000lce9,V3,53,79033.13396234743,1606.1989437129048,77774.69634956388,81161.35821953436,43.727542114257815,0.4466806388383603,43.37093359375,44.34092163085938,2535.5,41.10555518012951,2489.0,2580.0,3.7643645336306584,0.06965860293012716,3.6636526218601984,3.8112746675106224
