base_building_group,variant,sample_id,seed,annual_heating_kWh,peak_heating_kW,overheating_hours_any_zone_gt_26C,mean_interzone_spread_C,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,22,3,30594.99911256029,28.05103515625,2557.0,3.799435017601751,30594.99911256029,,30594.99911256029,30594.99911256029,28.05103515625,,28.05103515625,28.05103515625,2557.0,,2557.0,2557.0,3.799435017601751,,3.799435017601751,3.799435017601751
DESHPDHK0000lce9,V2,22,4,32616.71722238604,29.68857666015625,2595.0,3.8612834406612,32616.71722238604,,32616.71722238604,32616.71722238604,29.68857666015625,,29.68857666015625,29.68857666015625,2595.0,,2595.0,2595.0,3.8612834406612,,3.8612834406612,3.8612834406612
DESHPDHK0000lce9,V2,23,1,105190.20515416074,50.2492421875,2191.0,4.124992371476306,105190.20515416074,,105190.20515416074,105190.20515416074,50.2492421875,,50.2492421875,50.2492421875,2191.0,,2191.0,2191.0,4.124992371476306,,4.124992371476306,4.124992371476306
DESHPDHK0000lce9,V2,23,2,101312.10023583614,48.7315703125,2266.0,4.229263958791093,101312.10023583614,,101312.10023583614,101312.10023583614,48.7315703125,,48.7315703125,48.7315703125,2266.0,,2266.0,2266.0,4.229263958791093,,4.229263958791093,4.229263958791093
DESHPDHK0000lce9,V2,23,3,101327.47540563178,48.8207548828125,2209.0,4.237285024022259,101327.47540563178,,101327.47540563178,101327.47540563178,48.8207548828125,,48.8207548828125,48.8207548828125,2209.0,,2209.0,2209.0,4.237285024022259,,4.237285024022259,4.237285024022259
DESHPDHK0000lce9,V2,20,2,34551.91502730462,30.128682373046875,2619.0,4.435439445182977,34551.91502730462,,34551.91502730462,34551.91502730462,30.128682373046875,,30.128682373046875,30.128682373046875,2619.0,,2619.0,2619.0,4.435439445182977,,4.435439445182977,4.435439445182977
DESHPDHK0000lce9,V2,20,3,34006.55991052368,29.47200048828125,2569.0,4.4050342780571405,34006.55991052368,,34006.55991052368,34006.55991052368,29.47200048828125,,29.47200048828125,29.47200048828125,2569.0,,2569.0,2569.0,4.4050342780571405,,4.4050342780571405,4.4050342780571405
DESHPDHK0000lce9,V2,24,2,40679.55822709274,31.437373046875,2665.0,5.2507064500609895,40679.55822709274,,40679.55822709274,40679.55822709274,31.437373046875,,31.437373046875,31.437373046875,2665.0,,2665.0,2665.0,5.2507064500609895,,5.2507064500609895,5.2507064500609895
DESHPDHK0000lce9,V2,24,3,41538.099590482176,32.55788891601563,2602.0,5.232242827627181,41538.099590482176,,41538.099590482176,41538.099590482176,32.55788891601563,,32.55788891601563,32.55788891601563,2602.0,,2602.0,2602.0,5.232242827627181,,5.232242827627181,5.232242827627181
DESHPDHK0000lce9,V2,24,4,44532.80150941438,33.39113232421875,2642.0,5.206554554352646,44532.80150941438,,44532.80150941438,44532.80150941438,33.39113232421875,,33.39113232421875,33.39113232421875,2642.0,,2642.0,2642.0,5.206554554352646,,5.206554554352646,5.206554554352646
