region,assigned_zone,iou,coverage,fragmentation,purity,gt_area,pred_area,area_error_percent,centroid_distance,similarity_score,building_id
A0,2.0,0.9135789463528444,0.9986056742977786,1,0.923191127593906,72.85968100326028,78.03223629637641,7.099338374655627,0.3342869579780896,0.9306839532903308,1588
A1,1.0,0.904569274146016,0.9898275443416426,2,0.9948763721716912,85.38879270999217,78.00123804555591,8.65166777744098,0.4697683351530741,0.9189112592505788,1588
S0,0.0,0.8261704403716381,1.000000000000017,1,0.8305359294983438,10.769213610210963,12.884609662497487,19.64299464058162,0.2329992787974011,0.85815275161443,1588
A0,2.0,0.9278299069471968,0.9989252551555028,1,0.9346243117997346,107.16776720017845,113.77258295633216,6.163061831657466,0.373948941899925,0.9391585753469566,1595
A1,1.0,0.9250812588347628,0.9992160643392524,2,0.999263122692616,123.29221988670588,114.21734484274268,7.360460418591018,0.4696388049500021,0.9323985082471538,1595
S0,0.0,0.8224981492300392,1.0,1,0.8224981492300392,11.629402255215636,14.139122703318185,21.58082069073646,0.1227311691807308,0.8542287436586602,1595
A0,2.0,0.9776891433215822,0.9968920049458916,1,0.982412731209866,73.49616236884356,74.44578450816569,1.2920703730848042,0.0546901213293419,0.9842471426948456,1601
A1,1.0,0.9752342740342506,0.9948398217124724,1,0.9864019630199936,73.89181194452924,74.05078034782102,0.215136696622243,0.0319660846079645,0.9862801431603706,1601
S0,0.0,0.837434470533239,0.99999999999999,3,0.9628839946907218,11.318270256706016,10.172023642963508,10.127400987472994,0.299498406172195,0.8859112726436321,1601
A0,1.0,0.7322742761709001,0.9918989504580528,1,0.737773929142444,71.19278509727478,95.524331976556,34.17698415090187,1.7043326145516646,0.7380863623444037,1663
A1,2.0,0.7648960320873008,0.988654850845011,2,0.998027256377886,118.0388600470986,90.60290667990888,23.24315344645189,1.621411335430308,0.783804849041763,1663
S0,0.0,0.8097714264847173,0.9999999999999996,1,0.8164456123964431,9.813556400214464,11.899724842068505,21.258026721163507,0.2148112081441037,0.8463703662358473,1663
A0,2.0,0.9850323978053892,0.99844730169603,1,0.998329956877077,115.98976420496672,114.63369654292512,1.169127009901756,0.0722241554813223,0.9877877774909072,1686
A1,1.0,0.9927133432153876,0.9990838810451612,1,0.9966277594159244,115.26860853332336,115.20283831283452,0.0570582236791741,0.0079960159093303,0.9960141256507626,1686
S0,0.0,0.8977837847209792,1.0000000000000002,1,0.8980395082445481,12.93806039251126,14.402437646491324,11.318367742568796,0.079782405085429,0.918601412876932,1686
A0,1.0,0.9274344694601584,0.9990352094750112,2,0.9994634652624208,121.70063032339924,112.98620256537286,7.1605444728340695,0.4488686668224068,0.934594156877434,1712
A1,2.0,0.925657217896018,0.9985165762851054,1,0.9342778225225864,106.64264285689065,113.0178943273458,5.978144670524003,0.3548369572271153,0.9390123233410212,1712
S0,0.0,0.803326438195783,1.0,1,0.8033264381957829,11.21789107164684,13.964299615037527,24.4823962530018,0.1446705650899951,0.8368404643381371,1712
A0,2.0,0.4791765248212291,0.9975773858867696,2,0.5528174086087597,52.19042608754612,73.8718441453055,41.54290294811962,1.4030997953459683,0.6006535101566663,1728
A1,3.0,0.7583527267345884,0.9959309817590852,2,0.9723521061524124,100.99505549121088,80.50353490456872,20.28962753372162,0.9925620564604868,0.803638243121478,1728
A2,1.0,0.7565418384864004,0.9951019644949304,2,0.8727328060196181,81.20588568664944,79.12378387860575,2.563978941228387,0.6769685435716591,0.8549367583008378,1728
S0,0.0,0.6665011852610484,1.0000000000000009,3,0.7715405154849453,14.451283882276808,15.55342056958002,7.626565890487309,0.4251783719562445,0.8035547186053998,1728
A0,2.0,0.7964688235740437,0.998596792430563,2,0.9817200260465236,84.60808173484747,69.67581139508923,17.648751790111916,0.5661134513857629,0.839959696027098,1817
A1,4.0,0.8982984523077456,0.9930519164121628,2,0.9592844997490144,69.92927262865737,68.07921126080477,2.645617919804358,0.2346361121860775,0.93666927854971,1817
A2,3.0,0.9132719966955926,0.992085917240151,1,0.9257139215712492,69.71081523945821,74.2127552654552,6.458022346364365,0.2142485198097265,0.9351347294866422,1817
A3,5.0,0.735424949474323,0.9979502402719104,1,0.7646719228173152,60.97950338441893,75.80360003701337,24.309966185100464,0.9651250112212628,0.7828094339938788,1817
S0,0.0,0.6033793609908429,1.0,3,0.7855457696628315,14.695739785907264,13.513870568815648,8.042257377372662,0.9248369458876874,0.7584631134047976,1817
S1,1.0,0.5726728362809861,1.0000000000000002,3,0.7645930985473062,14.903775599390398,13.552289486825808,9.068078780117094,0.9938870170061757,0.738819045765046,1817
A0,4.0,0.663655155870212,0.9860494715583044,2,0.9947997517824784,105.08792753158986,70.35077904594581,33.05531786722306,1.357522550879136,0.71525121949507,1827
A1,2.0,0.5653774178056996,0.995689376958836,2,0.8718289919452046,84.32061746188002,59.63862904180608,29.271593547369672,1.857475514556515,0.6630728371705128,1827
A2,6.0,0.7026148758834564,0.9968114285787392,3,0.8142063496445381,84.83676147101227,87.18827715808582,2.7718121794135717,1.6148780791853037,0.8040059555135617,1827
A3,5.0,0.8081926546161307,0.9900059228940736,2,0.9892236386469933,105.35390892597316,86.83836490754908,17.574615130259676,0.9955440704267908,0.8352711877217464,1827
S0,,0.0,1.0000000000000002,1,0.0,10.76456171343715,0.0,100.0,,0.0,1827
