variant,building_id,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,TRY_B,8,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_3,2021,8761,1.0,1,1.0732195812969818,1.097904862363127,TRY_B,5,294.3277485562038,1.5074822679197077,standard,True,172746.91013139678,63.55293359375,0.0,0.0,21.57114802119859,27.714807128906273,21.179986572265648,44.0,2225.0,0.0,0.0,44.0
V1,DESHPDHK0000lce9_1,TRY_A,19,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_2,2021,8761,1.0,1,0.8029449079004023,1.1147697510008554,TRY_A,5,294.6235494851678,1.0958892754048333,retrofit,False,27396.563903632163,24.307580078125,0.0,0.0,24.007239454356732,35.36892089843752,21.469995117187523,2432.0,1235.0,0.0,0.0,2432.0
V1,DESHPDHK0000lce9_1,TRY_A,19,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0019\seed_3,2021,8761,1.0,1,0.8029449079004023,1.1147697510008554,TRY_A,5,294.6235494851678,1.0958892754048333,retrofit,False,27114.283432451488,25.544685546875,0.0,0.0,24.004821689563503,35.2388854980469,21.469995117187523,2430.0,1264.0,0.0,0.0,2430.0
V1,DESHPDHK0000lce9_1,TRY_A,2,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_2,2021,8761,1.0,1,0.8255269024416702,1.1310524687970327,TRY_A,6,293.9038403001458,1.1324462823746604,standard,True,60537.77581855821,36.2219140625,0.0,0.0,23.3090251684434,35.2497497558594,20.749993896484398,2118.0,1548.0,0.0,0.0,2118.0
V1,DESHPDHK0000lce9_1,TRY_A,2,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_3,2021,8761,1.0,1,0.8255269024416702,1.1310524687970327,TRY_A,6,293.9038403001458,1.1324462823746604,standard,True,60285.93218808985,36.264515625,0.0,0.0,23.30622044243155,35.2553649902344,20.749993896484398,2112.0,1577.0,0.0,0.0,2112.0
V1,DESHPDHK0000lce9_1,TRY_A,4,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_1,2021,8761,1.0,1,0.9418103872519473,1.1882792097579613,TRY_A,4,293.6704711861492,1.2285480631851473,standard,True,72858.22584069824,39.765125,0.0,0.0,22.923312878486268,35.19133911132815,20.520013427734398,1891.0,2456.0,0.0,0.0,1891.0
V1,DESHPDHK0000lce9_1,TRY_A,4,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_2,2021,8761,1.0,1,0.9418103872519473,1.1882792097579613,TRY_A,4,293.6704711861492,1.2285480631851473,standard,True,69842.30201328278,40.6126171875,0.0,0.0,22.962306147021224,35.33632812500002,20.520013427734398,1925.0,2436.0,0.0,0.0,1925.0
V1,DESHPDHK0000lce9_1,TRY_A,4,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_3,2021,8761,1.0,1,0.9418103872519473,1.1882792097579613,TRY_A,4,293.6704711861492,1.2285480631851473,standard,True,69564.04772875356,40.7006875,0.0,0.0,22.959123655819315,35.2647644042969,20.520013427734398,1925.0,2418.0,0.0,0.0,1925.0
V1,DESHPDHK0000lce9_1,TRY_A,5,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_1,2021,8761,1.0,1,1.157248448528879,1.1113533988295048,TRY_A,5,294.02229928267036,1.3248120574773004,standard,True,66267.09001171017,38.88228125,0.0,0.0,23.40312965444447,35.72207031250002,20.869989013671898,2147.0,1611.0,0.0,0.0,2147.0
V1,DESHPDHK0000lce9_1,TRY_A,5,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_2,2021,8761,1.0,1,1.157248448528879,1.1113533988295048,TRY_A,5,294.02229928267036,1.3248120574773004,standard,True,63300.191690912245,38.8666171875,0.0,0.0,23.43985629352231,35.7777038574219,20.869989013671898,2169.0,1546.0,0.0,0.0,2169.0
