building_id,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_meanTair_gt_26C_mean,overheating_hours_meanTair_gt_26C_std,overheating_hours_meanTair_gt_26C_min,overheating_hours_meanTair_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max,weather_key,wwr_factor,gains_scale,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,n_zones
DESHPDHK0000lce9_2,V2,9,109977.58684096563,2210.000799148089,108567.85641011044,112524.62431122604,51.261638671875005,1.127806601967085,50.5857001953125,52.5635986328125,1983.0,5.5677643628300215,1978.0,1989.0,4.376086700036548,0.06984544405566508,4.295501506950416,4.419191065913345,TRY_A,1.187003892973684,0.9303301432552608,5.0,294.16986718220073,1.7309759242710185,standard,True,6.0
DESHPDHK0000lce9_2,V2,8,208225.68335572165,2715.2265301055786,206202.11712322486,211311.43365753815,78.24021516927083,0.06864143333477733,78.161505859375,78.2876494140625,37.333333333333336,2.5166114784235836,35.0,40.0,7.659206345532806,0.028729786870363358,7.62690970859848,7.681919424899326,TRY_B,1.0732195812969818,1.097904862363127,5.0,294.3277485562038,1.5074822679197077,standard,True,6.0
DESHPDHK0000lce9_2,V2,7,83517.59468545772,2605.663917185593,81722.06867390919,86506.18269723139,70.9528857421875,0.050739245811516634,70.8950849609375,70.9900791015625,19.666666666666668,1.5275252316519463,18.0,21.0,7.36962696138285,0.04978360481372154,7.3135647433572375,7.408666162454925,TRY_B,0.8175215063148915,0.8617157968270192,5.0,294.5658139132884,1.0379203880565346,retrofit,False,6.0
DESHPDHK0000lce9_2,V2,6,117326.76690892463,2309.0288097054117,115792.66779996574,119982.33942777815,50.986955078125,1.2950150286141193,50.174279296875,52.4803681640625,1760.3333333333333,10.263202878893736,1749.0,1769.0,4.7311028951252965,0.0833781670329603,4.637167073809222,4.7963455107886706,TRY_A,0.8778554831407871,0.9866884014908137,5.0,294.55712551775713,1.7607089583956002,standard,True,6.0
DESHPDHK0000lce9_2,V2,5,101832.2853737989,2230.1772820500196,100135.33002149558,104358.24557104844,50.10237060546874,1.1859760311760865,49.3593623046875,51.4701142578125,1980.6666666666667,16.258331197676274,1968.0,1999.0,4.779564201924799,0.06248450073696764,4.713269065958823,4.837370014832917,TRY_A,1.157248448528879,1.1113533988295048,5.0,294.02229928267036,1.3248120574773004,standard,True,6.0
DESHPDHK0000lce9_4,V2,12,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V2,4,110413.73599261284,2140.45564057757,108897.35829069864,112862.19090195643,50.964575520833336,0.7649118344771796,50.5180966796875,51.8478017578125,1745.3333333333333,21.501937897160158,1724.0,1767.0,4.517776614077646,0.10406735217693887,4.399689274554846,4.5960958894699795,TRY_A,0.9418103872519473,1.1882792097579613,4.0,293.6704711861492,1.2285480631851473,standard,True,6.0
DESHPDHK0000lce9_2,V2,3,204166.0021481746,2789.250967660193,202202.9713087555,207358.8075541163,76.97860970052083,0.04108184050477571,76.931849609375,77.00890625,22.0,3.4641016151377544,20.0,26.0,6.068768438037272,0.03600372376818968,6.027195122671678,6.089667844603616,TRY_B,1.0526657596488258,1.1032350960341495,5.0,293.7251811832662,0.5116085777850673,standard,True,6.0
DESHPDHK0000lce9_2,V2,2,82524.85032566874,2160.4240312974757,81226.7419795556,85018.79420716893,44.59458837890625,0.5132417009356695,44.26438134765625,45.1858837890625,1947.3333333333333,5.686240703077296,1941.0,1952.0,3.755972507051405,0.05754964606819285,3.6905676732119375,3.7988541943476433,TRY_A,0.8255269024416702,1.1310524687970327,6.0,293.9038403001458,1.1324462823746604,standard,True,6.0
DESHPDHK0000lce9_2,V2,16,207956.6990704505,2684.723655018827,206148.0669131341,211041.4688618617,77.18773209635417,0.0795953888521593,77.0973603515625,77.2474140625,37.0,4.58257569495584,33.0,42.0,6.340222783127331,0.036761690248622726,6.298222176384513,6.36655071682207,TRY_B,1.1219057429987207,0.9549913516120698,5.0,293.7795466999801,0.8393237984710207,standard,True,6.0
DESHPDHK0000lce9_4,V2,11,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,0,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_4,V2,9,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_1,V2,0,,,,,,,,,,,,,,,,,,,,,,,,,
