building_id,n_gt_regions,n_pred_regions,zone_count_diff,false_negatives,false_positives,region_recall,region_precision,topology_correct,n_gt_core_apartment_edges,n_pred_core_apartment_edges,n_missing_core_apartment_edges,n_extra_core_apartment_edges,mean_iou_overall,mean_iou_matched,mean_area_error,mean_centroid_distance,mean_fragmentation,diagnosis
8260,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9125708798759168,0.9125708798759168,6.056222910164053,0.1995016848992189,1.6666666666666667,Good geometric match
8264,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8653138961075784,0.8653138961075784,12.520633036937491,0.2995652069410119,1.0,Good geometric match
8308,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7883640993050216,0.7883640993050216,7.256076288872965,0.4712259244302997,1.6666666666666667,Good geometric match
8309,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8636215134542854,0.8636215134542854,3.391658835,0.3251985783720184,1.3333333333333333,Good geometric match
8314,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.6214251911487287,0.6214251911487287,9.643657213436237,0.9759749211145512,2.333333333333333,Moderate geometric match
8364,6,7,1,1,2,0.8333333333333334,0.7142857142857143,0.0,4,2,2,0,0.5658874839709493,0.6790649807651392,29.223887878614345,1.3561867428884178,1.8333333333333333,Over-zoned
8412,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.826360828,0.826360828,10.517321027233471,0.3322504835286962,1.6666666666666667,Good geometric match
8413,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7013666397390693,0.7013666397390693,21.149154556639925,0.6574683558518372,2.0,Good geometric match
8424,4,3,-1,1,0,0.75,1.0,0.0,3,2,1,0,0.5858738636877759,0.7811651515837013,17.542176383083724,0.7775816014729338,1.5,Under-zoned
8443,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8075262531234676,0.8075262531234676,9.911774360310828,0.5989145343047126,1.6666666666666667,Good geometric match
8447,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.7986758659632271,0.7986758659632271,10.969069656846791,0.5997244225114321,1.6666666666666667,Good geometric match
8460,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.854546832902292,0.854546832902292,8.710005461478483,0.3661807549686895,1.6666666666666667,Good geometric match
8549,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8612385165892288,0.8612385165892288,14.492486492481392,0.320000887,1.3333333333333333,Good geometric match
8851,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8223301529013308,0.8223301529013308,20.02065569,0.4146442963275469,1.3333333333333333,Good geometric match
8860,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.850990835,0.850990835,10.153052121173006,0.2844904220371572,1.3333333333333333,Good geometric match
8863,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.6847470987797131,0.6847470987797131,12.42712175114164,0.7497834805433135,2.0,Moderate geometric match
8866,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7288836150766184,0.7288836150766184,31.67531483935981,0.8871630618838192,1.3333333333333333,Good geometric match
8877,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.729624842,0.729624842,32.08402799096469,0.8749725421308331,1.3333333333333333,Good geometric match
8881,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8538513267676208,0.8538513267676208,20.049359849434182,0.2441715941794255,1.0,Good geometric match
9205,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8522190826114211,0.8522190826114211,16.229280062523767,0.3633990418320127,1.3333333333333333,Good geometric match
9222,6,7,1,0,1,1.0,0.8571428571428571,1.0,4,4,0,0,0.7274015126952401,0.7274015126952401,18.057951244684613,0.9224657604553932,1.8333333333333333,Over-zoned
9678,4,4,0,0,0,1.0,1.0,1.0,3,3,0,0,0.7748632721892612,0.7748632721892612,5.048524136520095,0.435954375,2.0,Good geometric match
9682,8,6,-2,2,0,0.75,1.0,0.0,6,4,2,0,0.5717976995923053,0.7623969327897405,26.09739216250702,0.8237149841323371,1.25,Under-zoned
9729,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9220493308967392,0.9220493308967392,1.8833835509478785,0.1577261618071137,1.6666666666666667,Good geometric match
10277,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8352450473281804,0.8352450473281804,13.838730103595148,0.6127099111985833,2.0,Good geometric match
10288,4,5,1,0,1,1.0,0.8,1.0,3,3,0,0,0.6077379845539705,0.6077379845539705,18.45700754762612,1.8203464212840903,2.25,Over-zoned
10376,7,6,-1,1,0,0.8571428571428571,1.0,0.0,4,4,1,1,0.5696459085056269,0.6645868932565647,30.50771221301853,1.1064151151105726,1.5714285714285714,Under-zoned
10388,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7407751901309413,0.7407751901309413,18.432937309394383,0.91448216,1.6666666666666667,Good geometric match
10405,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8949007765913253,0.8949007765913253,3.63220779042276,0.2156057861197934,1.3333333333333333,Good geometric match
10655,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7521465429717882,0.7521465429717882,32.55117643752659,0.9099342450713176,1.3333333333333333,Good geometric match
10959,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8927738111126952,0.8927738111126952,9.731055062,0.2048887113061146,1.6666666666666667,Good geometric match
11226,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7929486053647078,0.7929486053647078,19.180150279282724,0.5238501358063693,2.0,Good geometric match
11434,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8800587813284698,0.8800587813284698,0.8317844766526329,0.2221840898828661,1.6666666666666667,Good geometric match
11818,6,6,0,1,1,0.8333333333333334,0.8333333333333334,0.0,4,3,1,0,0.5203079446471379,0.6243695335765655,43.57732270353812,1.5330212588920833,1.5,Structural mismatch
11906,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8796844701989882,0.8796844701989882,11.829268068553873,0.1736437329842824,1.0,Good geometric match
11967,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7732299450584779,0.7732299450584779,28.96959410331496,0.7791403990829341,1.3333333333333333,Good geometric match
13488,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8265648873350576,0.8265648873350576,15.931189271846966,0.2946317974435695,1.6666666666666667,Good geometric match
13544,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8607970431306634,0.8607970431306634,8.710289677882413,0.4703087740961346,1.6666666666666667,Good geometric match
13858,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9356365584139396,0.9356365584139396,1.1047124023773114,0.066922225,1.0,Good geometric match
14016,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.7509169227964176,0.7509169227964176,21.38363331528322,0.634890779442872,2.0,Good geometric match
14063,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7841715621334461,0.7841715621334461,24.52120274832065,0.5425468224207153,1.3333333333333333,Good geometric match
14123,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8279015883570872,0.8279015883570872,13.106854041641816,0.2590521570748925,1.6666666666666667,Good geometric match
14128,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8388861151966603,0.8388861151966603,11.30719968947662,0.4285376194595436,1.6666666666666667,Good geometric match
14131,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8805820386893578,0.8805820386893578,12.717886350371016,0.3718547063178308,1.3333333333333333,Good geometric match
14747,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.882888965,0.882888965,8.865556496749386,0.3346204338572475,1.3333333333333333,Good geometric match
14818,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.6280361096629657,0.6280361096629657,14.447687939069825,0.9899150981575948,1.6666666666666667,Moderate geometric match
14819,6,6,0,2,2,0.6666666666666666,0.6666666666666666,0.0,4,0,4,0,0.5443995268359556,0.8165992902539334,16.899171392181287,0.7230163189704945,1.3333333333333333,Structural mismatch
14881,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8038661237037111,0.8038661237037111,14.995672402972112,0.519556421,1.6666666666666667,Good geometric match
14897,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8692230248857621,0.8692230248857621,13.151659842487575,0.4477061780950094,1.3333333333333333,Good geometric match
15364,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9039833226540084,0.9039833226540084,11.762349306690398,0.1180296652617111,1.0,Good geometric match
22206,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9265916190066594,0.9265916190066594,6.951402395939951,0.3374268048962481,1.3333333333333333,Good geometric match
22211,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9048972928752764,0.9048972928752764,6.157622665,0.1173739727636566,1.0,Good geometric match
22844,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8121527667087857,0.8121527667087857,10.863707025750571,0.609052364,2.0,Good geometric match
22886,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8118814396684609,0.8118814396684609,10.678401714823751,0.6073083742915092,2.0,Good geometric match
23213,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8302273868175384,0.8302273868175384,20.26860062,0.3800882809140746,1.3333333333333333,Good geometric match
23246,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8206662039293099,0.8206662039293099,22.16671342392497,0.4020067697905509,1.3333333333333333,Good geometric match
23562,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8970715199044217,0.8970715199044217,4.666218574652977,0.1872539837098724,1.3333333333333333,Good geometric match
23865,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.6424141082564235,0.6424141082564235,9.888866884196904,0.8497176970461581,1.6666666666666667,Moderate geometric match
