base_building_group,building_id,variant,sample_id,seed,annual_heating_kWh
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,29,3,206535.4774144812
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,38,4,241781.8599087646
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,45,3,66880.71026346409
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,1,226044.34647691488
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,3,221294.1852542681
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,4,224369.55349781405
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,1,225670.7336997381
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,2,222483.7671508569
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,3,220552.65078684204
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,4,223337.3022335788
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,1,216055.2260420587
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,2,212086.2359440285
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,3,210987.23925823628
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,4,214231.0065460033
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,45,1,71708.98265999473
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,45,2,68270.41178123599
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,2,221811.0118384344
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,29,2,207246.5910228224
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,30,2,123549.10075887947
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,29,1,211748.7763453272
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,59,3,93242.94406917566
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,21,1,103605.41166549348
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,21,2,100227.69397585644
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,21,3,99930.90674444169
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,21,4,101969.3254106375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,22,1,34027.54624926508
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,22,2,31252.33879161415
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,22,3,30594.99911256029
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,22,4,32616.71722238604
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,23,1,105190.20515416074
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,23,2,101312.10023583614
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,23,3,101327.47540563178
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,20,2,34551.91502730462
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,20,4,35552.47026097656
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,20,3,34006.55991052368
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,24,3,41538.099590482176
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,24,4,44532.80150941438
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,26,1,100989.63703176516
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,26,2,98000.66180494094
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,26,3,97233.2657656703
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,26,4,99219.38034710789
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,28,1,60880.9650208829
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,28,2,57257.45850486027
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,28,3,56155.93411714774
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,28,4,59699.29120030189
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,30,1,128006.11869966782
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,23,4,104039.15782385804
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,24,2,40679.55822709274
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,24,1,45096.84927344319
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,20,1,37613.444604630815
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,3,91910.33830739536
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,30,4,127072.34307940984
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,2,90099.16528527193
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,3,89496.98909070033
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,4,91648.53828348244
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,1,77919.37435718674
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,2,74376.05516851178
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,3,74483.92717869568
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,4,76949.54044988402
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,3,1,92888.58923342758
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,3,2,89577.6102969141
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,3,3,89199.94013339281
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,3,4,91227.89312751376
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,4,94226.12541222652
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,7,1,34426.222360209635
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,7,3,31047.50746495348
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,7,4,32974.05553315395
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,1,107546.92424783391
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,2,103460.748055299
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,3,103427.23758876655
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,4,106298.62479471492
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,1,120005.59612353749
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,2,116143.29813417386
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,3,115795.0668824272
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,4,118581.48404855376
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,1,95753.32059207476
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,2,92500.1180925612
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,7,2,31496.273569486915
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,30,3,123520.67511580704
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,59,4,95554.15431943318
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,1,93310.48838257192
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,52,4,103837.0670682891
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,44,4,90200.82754731415
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,47,1,105421.69958647796
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,47,2,102549.75188264632
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,47,3,101615.70765160692
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,50,1,89628.22104993892
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,50,2,86575.52186080646
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,50,3,85722.8482358735
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,50,4,87660.18872349068
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,52,1,105844.41127006018
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,52,2,102701.35039404256
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,32,1,75164.20766873384
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,44,3,88001.7460269543
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,44,2,87730.07859684914
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,53,1,75719.45799362475
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,53,4,74387.60195447541
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,54,1,106023.1863599868
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,54,2,102988.51812113792
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,54,3,102242.49469907474
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,54,4,104264.91645772684
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,55,1,33526.51422515273
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,55,2,30182.03473714644
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,55,3,30300.325679005862
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,55,4,32663.734846122028
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,59,1,96910.48848328076
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,59,2,93816.31120976746
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,53,2,73035.14019887787
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,53,3,72258.3083424046
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,52,3,102049.71594609196
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,47,4,102315.24549774337
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,36,4,46321.65168136168
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,32,3,72058.13865846115
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,32,4,74079.4321950078
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,34,1,79694.05293626187
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,34,2,76044.36637162179
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,34,3,76388.92804962039
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,34,4,78853.38437274181
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,35,1,37935.486144557806
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,40,4,73468.64282480329
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,35,3,34563.483265174895
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,35,4,37129.24608038074
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,36,1,47342.622487697816
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,36,2,43507.75043589902
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,44,1,91410.4853868
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,35,2,35082.54815367996
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,36,3,43434.85159594327
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,32,2,72295.91924468732
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,37,1,106052.12597612178
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,37,2,102446.4544214583
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,37,3,102038.4766438034
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,37,4,104683.45810838926
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,39,1,120036.19185163033
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,39,2,116605.89026947031
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,39,3,115781.68177593326
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,39,4,119174.25808640134
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,40,1,74864.17105986337
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,40,2,72529.46539757992
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,40,3,71595.47575134617
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,1,216854.84210425615
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,3,215474.79697824825
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,3,234533.4177351354
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,4,237307.0225290873
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,1,219701.66904101628
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,4,217731.9190710605
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,2,235137.4610231506
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,2,76693.84170044106
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,3,75532.00720291985
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,4,78326.1942338733
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,27,3,226720.1511769452
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,2,216178.01909215623
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,3,212075.19876526212
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,4,217352.707051808
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,1,77864.4919284818
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,2,73939.8246855018
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,3,72427.2855039998
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,4,75353.08823838398
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,25,1,214272.19682443404
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,25,2,209647.4565134197
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,25,3,210024.8342458988
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,25,4,212440.14291231055
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,27,1,230672.12231694584
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,27,2,226579.551166052
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,1,239064.25313298023
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,2,213432.62988912596
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,4,214997.75902862693
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,1,80380.99918389092
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,1,245010.9515242306
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,1,236773.36772645265
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,27,4,229147.03103161015
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,2,241115.49742582865
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,3,240822.11873380453
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,4,243309.1219526559
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,1,241065.81886924905
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,2,236418.83436927325
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,3,236550.30503641604
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,4,239021.1472282456
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,1,230598.38777426112
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,2,226728.25882160536
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,3,240955.9131772353
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,58,4,60910.343527896206
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,3,225265.09276283637
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,3,232044.1737000538
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,4,235228.73211705303
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,1,263311.61213561235
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,2,258672.56500912248
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,3,258425.7409588364
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,4,261187.9496290316
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,1,221318.80763540723
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,2,216963.77179325008
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,3,215959.6324032301
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,4,218543.3927782446
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,1,245886.0609840682
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,4,228175.2782705523
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,2,231712.00800516424
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,2,241782.67761835616
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,4,244050.03512491376
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,2,215284.64228838423
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,41,3,223986.7434540644
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,46,2,250746.8950196682
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,46,4,253015.5874559835
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,48,1,208116.8263074645
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,48,2,204205.49888107428
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,48,3,203307.9028223966
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,48,4,205423.76157426616
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,49,1,252480.58651296055
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,49,2,249100.28684916737
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,49,3,247235.0397220127
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,49,4,250766.09804143448
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,51,1,224179.4425306077
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,46,1,254881.6187566004
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,51,2,220255.254601712
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,45,2,64980.00634492534
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,51,4,221954.87925819305
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,45,4,67813.60960436017
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,56,1,211077.90467652548
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,51,3,219413.4763413369
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,58,3,60532.95731526072
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,58,2,59511.10602944903
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,57,4,219269.0525395198
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,58,1,63615.661173714325
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,57,2,217388.57220036356
