base_building_group,building_id,variant,sample_id,seed,peak_heating_kW
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,1,52.5635986328125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,3,50.5180966796875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,2,50.5857001953125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,3,50.3062177734375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,1,50.735572265625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,2,49.17557421875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,3,49.1855517578125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,1,48.970626953125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,2,47.7425625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,3,47.8312734375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,2,31.123843505859377
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,2,47.7734794921875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,3,47.7798955078125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,1,33.54960009765625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,2,31.38528076171875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,3,31.01002587890625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,1,33.26791650390625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,2,75.97430810546875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,2,83.2443125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,0,3,77.93636376953125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,1,75.2850546875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,2,75.147818359375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,3,76.0647880859375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,3,75.2566025390625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,1,75.95605908203125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,2,75.839826171875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,3,75.95833544921875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,3,83.24842578125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,1,76.07386376953124
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,1,74.46740771484374
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,17,2,85.51230224609375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,3,78.3607109375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,1,78.37777490234375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,18,2,75.405541015625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,18,1,75.5500078125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,2,78.247439453125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,1,83.24993408203125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,17,1,85.5344619140625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,17,3,85.3929599609375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,2,74.3149052734375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,0,2,77.84215673828125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,3,88.80627685546875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,2,88.98129736328124
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,1,89.0052646484375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,18,3,75.53609814453125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,0,1,77.96441064453126
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,3,74.449912109375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,2,31.216258422851563
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,3,48.89511791992187
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,2,49.06286181640625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,1,50.1294033203125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,3,49.424470703125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,2,49.23513159179687
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,2,50.22238134765625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,3,50.25764721679688
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,1,50.44333251953125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,2,3,44.7011962890625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,2,2,44.65996801757812
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,1,53.56118505859375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,1,50.3535341796875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,2,51.823452392578126
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,3,46.86678002929688
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,1,47.66360009765625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,1,33.09970581054687
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,3,30.575801025390625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,10,2,49.06968969726562
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,10,3,49.044101318359374
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,10,1,50.318548828125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,2,49.044259765625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,3,49.082552001953125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,1,50.131302734375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,2,46.91511328125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,2,1,45.300678955078126
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,3,51.88379931640625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,2,30.440294921875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,3,30.1819482421875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,1,32.423475830078125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,3,3,75.93852978515625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,8,3,84.4304091796875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,1,1,74.6341005859375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,1,2,74.49783984375
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,1,3,74.6049072265625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,8,2,84.48497998046875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,0,3,77.8659921875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,7,1,77.026017578125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,7,2,76.90683642578125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,7,3,77.02628564453126
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,8,1,84.47637744140626
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,11,1,79.262767578125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,3,2,75.86369775390625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,3,1,75.9490556640625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,17,2,85.5843046875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,16,2,73.8571337890625
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,18,3,75.05573876953125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,18,2,74.9239267578125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,18,1,75.06991650390626
