base_building_group,building_id,variant,sample_id,seed,overheating_hours_any_zone_gt_26C
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,3,123.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,1,119.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,18,2,81.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,18,1,66.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,11,2,94.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,1,199.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,17,1,114.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,17,3,135.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,2,226.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,0,2,263.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,3,192.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,2,194.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,12,1,167.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,18,3,72.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,0,1,213.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,3,230.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,2,2587.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,3,2352.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,2,2294.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,6,1,2323.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,3,2639.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,2,2569.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,2,2406.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,3,2427.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,4,1,2351.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,2,3,2394.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,2,2,2343.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,1,2578.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,5,1,2590.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,2,2555.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,3,2582.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,1,2537.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,1,2631.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,19,3,2644.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,10,2,2354.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,10,3,2354.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,10,1,2336.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,2,2422.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,3,2492.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,13,1,2440.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,14,2,2505.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,2,1,2328.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,9,3,2606.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,2,2757.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,3,2830.0
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,15,1,2789.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,3,3,170.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,8,3,195.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,1,1,143.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,1,2,123.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,1,3,147.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,8,2,165.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,0,3,229.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,7,1,196.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,7,2,234.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,7,3,220.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,8,1,181.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,11,1,128.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,3,2,157.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,3,1,146.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,17,2,123.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,16,2,223.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,18,3,77.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,18,2,73.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,18,1,67.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,17,3,122.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,0,2,216.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,16,3,235.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,16,1,204.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,12,3,181.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,12,2,182.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,12,1,168.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,17,1,113.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,11,2,104.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,11,3,128.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,0,1,212.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,19,3,2639.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,10,1,2303.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,9,1,2550.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,6,3,2342.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,6,2,2291.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,6,1,2293.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,5,3,2568.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,2,1,2254.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,4,3,2377.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,4,1,2306.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,2,3,2324.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,2,2,2272.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,9,2,2532.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,5,1,2548.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,5,2,2544.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,4,2,2372.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,9,3,2569.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,14,2,2475.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,14,1,2491.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,10,2,2310.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,10,3,2323.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,13,1,2411.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,13,2,2393.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,19,2,2575.0
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,19,1,2647.0
