variant,datetime,heat_kW,mean_tair_C,overheat_flag
V4,2021-10-14 17:00:00,4.057604515075684,21.76004250266337,0.0
V4,2021-10-14 18:00:00,6.380223637580871,21.426293945312523,0.0
V4,2021-10-14 19:00:00,7.729439826965333,21.373382013494336,0.0
V4,2021-10-14 20:00:00,9.540496053695678,21.284727061878574,0.0
V4,2021-10-14 21:00:00,11.295869201660157,21.202344859730132,0.0
V4,2021-10-14 22:00:00,13.902486328125,21.173351773348745,0.0
V4,2021-10-14 23:00:00,17.447887420654297,21.112078025124312,0.0
V4,2021-10-15 00:00:00,19.720660675048826,21.08787342418326,0.0
V4,2021-10-15 01:00:00,20.124160583496092,21.067673561789796,0.0
V4,2021-10-15 02:00:00,20.2347587890625,21.048439164595194,0.0
V4,2021-10-15 03:00:00,19.310192169189452,21.03066128817474,0.0
V4,2021-10-15 04:00:00,19.535803436279295,21.014203990589515,0.0
V4,2021-10-15 05:00:00,20.187877471923827,21.000572343306132,0.0
V4,2021-10-15 06:00:00,17.296816009521486,21.00440923517403,0.0
V4,2021-10-15 07:00:00,14.233416206359863,21.066280850497183,0.0
V4,2021-10-15 08:00:00,8.515553421020508,21.237950550426156,0.0
V4,2021-10-15 09:00:00,2.8727888793945313,21.628202403675445,0.0
V4,2021-10-15 10:00:00,0.9924970092773437,21.90071744051848,0.0
V4,2021-10-15 11:00:00,0.4962396011352539,22.167668568004277,0.0
V4,2021-10-15 12:00:00,0.07937221240997315,22.36784446022729,0.0
V4,2021-10-15 13:00:00,0.0,22.581632579456695,0.0
V4,2021-10-15 14:00:00,0.0,22.790626664595187,0.0
V4,2021-10-15 15:00:00,0.0,23.109389703924023,0.0
V4,2021-10-15 16:00:00,0.06716326904296875,23.173314319957406,0.0
V4,2021-10-15 17:00:00,0.48300308990478513,22.749860728870754,0.0
V4,2021-10-15 18:00:00,1.7849572620391847,22.501360251686805,0.0
V4,2021-10-15 19:00:00,2.9635845680236814,22.40477072975854,0.0
V4,2021-10-15 20:00:00,4.564552206039429,22.48668823242189,0.0
V4,2021-10-15 21:00:00,4.664732669353485,22.528422407670472,0.0
V4,2021-10-15 22:00:00,5.819990653991699,22.66118496981536,0.0
V4,2021-10-15 23:00:00,7.899389907836914,22.709236283735812,0.0
V4,2021-10-16 00:00:00,8.613173484802246,22.590987604314652,0.0
V4,2021-10-16 01:00:00,9.089016616821288,22.51262539950286,0.0
V4,2021-10-16 02:00:00,9.284111160278322,22.486432994495757,0.0
V4,2021-10-16 03:00:00,9.394347869873048,22.287404285777715,0.0
V4,2021-10-16 04:00:00,9.40082244873047,22.366408746892773,0.0
V4,2021-10-16 05:00:00,9.459343475341797,22.383344615589507,0.0
V4,2021-10-16 06:00:00,7.962236145019531,22.33067543723368,0.0
V4,2021-10-16 07:00:00,6.264776077270508,22.39009593616833,0.0
V4,2021-10-16 08:00:00,3.800814254760742,22.487667569247176,0.0
V4,2021-10-16 09:00:00,1.13218878364563,22.49480729536578,0.0
V4,2021-10-16 10:00:00,0.2344312152862549,22.784671575372887,0.0
V4,2021-10-16 11:00:00,0.14132818603515626,22.90993791060016,0.0
V4,2021-10-16 12:00:00,0.0,23.025054376775586,0.0
V4,2021-10-16 13:00:00,0.0,23.104695545543343,0.0
V4,2021-10-16 14:00:00,0.0,23.3717937122692,0.0
V4,2021-10-16 15:00:00,0.0,23.36401727849789,0.0
V4,2021-10-16 16:00:00,0.0,23.18631342107601,0.0
V4,2021-10-16 17:00:00,0.6870688171386719,22.972061989524168,0.0
V4,2021-10-16 18:00:00,1.6667215137481688,22.744363403320328,0.0
V4,2021-10-16 19:00:00,3.1530567359924317,22.63029008345172,0.0
V4,2021-10-16 20:00:00,4.394676436424255,22.45876880992543,0.0
V4,2021-10-16 21:00:00,5.364239448547363,22.43272760564632,0.0
V4,2021-10-16 22:00:00,6.959499000549316,22.18563509854405,0.0
V4,2021-10-16 23:00:00,9.501373428344726,22.16914450905542,0.0
V4,2021-10-17 00:00:00,12.179020462036132,21.827690263228003,0.0
V4,2021-10-17 01:00:00,12.618909637451171,21.75993291681465,0.0
V4,2021-10-17 02:00:00,13.08577749633789,21.684901289506413,0.0
V4,2021-10-17 03:00:00,12.170607997894287,21.77031444202772,0.0
V4,2021-10-17 04:00:00,13.376689514160155,21.63146917169746,0.0
V4,2021-10-17 05:00:00,13.737564697265626,21.513915460759957,0.0
V4,2021-10-17 06:00:00,11.062336087226868,21.517327880859398,0.0
V4,2021-10-17 07:00:00,9.733116806030274,21.57062405672943,0.0
V4,2021-10-17 08:00:00,5.787630403518676,21.69694463556465,0.0
V4,2021-10-17 09:00:00,1.7663771667480468,22.150244418057547,0.0
V4,2021-10-17 10:00:00,0.6161807141304017,22.402003340287663,0.0
V4,2021-10-17 11:00:00,0.290869197845459,22.638463245738656,0.0
V4,2021-10-17 12:00:00,0.0,22.97109236283738,0.0
V4,2021-10-17 13:00:00,0.0,23.123859197443203,0.0
V4,2021-10-17 14:00:00,0.0,23.328039828213797,0.0
V4,2021-10-17 15:00:00,0.0,23.44964127974078,0.0
V4,2021-10-17 16:00:00,0.0,23.29899680397729,0.0
V4,2021-10-17 17:00:00,0.41650938415527344,22.960536055131413,0.0
V4,2021-10-17 18:00:00,1.5758562145233153,22.685630937056118,0.0
V4,2021-10-17 19:00:00,2.27269873046875,22.565692693536946,0.0
V4,2021-10-17 20:00:00,2.8757494111061095,22.46830694025215,0.0
V4,2021-10-17 21:00:00,3.6146844882965086,22.31915643865413,0.0
V4,2021-10-17 22:00:00,5.101201831817627,22.064700872247887,0.0
V4,2021-10-17 23:00:00,6.353034515380859,22.048293512517773,0.0
V4,2021-10-18 00:00:00,8.437812156677246,21.89855346679689,0.0
V4,2021-10-18 01:00:00,10.283771667480469,21.72700028852985,0.0
V4,2021-10-18 02:00:00,11.290359146118163,21.670147427645617,0.0
V4,2021-10-18 03:00:00,14.1460673828125,21.47790471857246,0.0
V4,2021-10-18 04:00:00,16.438160022735595,21.3931990189986,0.0
