variant,building_id,weather_key,trajectory_id,seed,param,param_index,kpi,dx_unit,elementary_effect
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gains_scale,1,cool_demand_kWh,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gains_scale,1,peak_heat_kW,0.20000000000000007,-0.16544921874999113
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,gains_scale,1,peak_cool_kW,0.20000000000000007,0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,heat_demand_kWh,-0.2,41123.232516918215
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,peak_heat_kW,-0.2,8.452187500000008
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,baseACH,5,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,hConWin,9,heat_demand_kWh,-0.2,3256.7392233753344
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,hConWin,9,cool_demand_kWh,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,hConWin,9,peak_heat_kW,-0.2,1.127890624999992
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,hConWin,9,peak_cool_kW,-0.2,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_mean_C,2,heat_demand_kWh,-0.19999999999999996,20199.483695840903
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_mean_C,2,cool_demand_kWh,-0.19999999999999996,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_mean_C,2,peak_heat_kW,-0.19999999999999996,8.809960937499996
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,tset_mean_C,2,peak_cool_kW,-0.19999999999999996,-0.0
V1,DESHPDHK0000lce9_1,TRY_C,2,1200,yoc_shift,4,heat_demand_kWh,-0.2,-0.0
