overall_json,variant,variant_base,building_id,weather_key,trajectory_id,point_id,changed_param,changed_dim,seed,x_unit_0,x_unit_1,x_unit_2,x_unit_3,x_unit_4,x_unit_5,x_unit_6,x_unit_7,x_unit_8,x_unit_9,heat_demand_kWh,cool_demand_kWh,peak_heat_kW,peak_cool_kW,x_unit_10,x_unit_11
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_00/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,0,,,1200,0.6000000000000001,0.4,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.8,0.6000000000000001,189487.4837765522,0.0,58.98437890625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_01/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,1,wwr_factor,0.0,1200,0.8,0.4,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.8,0.6000000000000001,188736.57550071337,0.0,59.14380078125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_02/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,2,gWin,7.0,1200,0.8,0.4,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.8,0.8,0.6000000000000001,186143.48012546252,0.0,59.14380078125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_03/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,3,tset_spread_K,3.0,1200,0.8,0.4,0.8,0.4000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.8,0.8,0.6000000000000001,186143.48012546252,0.0,59.14380078125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_04/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,4,UWin,8.0,1200,0.8,0.4,0.8,0.4000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.8,1.0,0.6000000000000001,186198.78052642965,0.0,59.14380078125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_05/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,5,gains_scale,1.0,1200,0.8,0.6000000000000001,0.8,0.4000000000000001,0.6000000000000001,0.6000000000000001,0.8,0.8,1.0,0.6000000000000001,184973.65664797593,0.0,59.1107109375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_06/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,6,baseACH,5.0,1200,0.8,0.6000000000000001,0.8,0.4000000000000001,0.6000000000000001,0.4000000000000001,0.8,0.8,1.0,0.6000000000000001,176749.0101445923,0.0,57.4202734375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_07/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,7,hConWin,9.0,1200,0.8,0.6000000000000001,0.8,0.4000000000000001,0.6000000000000001,0.4000000000000001,0.8,0.8,1.0,0.4000000000000001,176097.66229991723,0.0,57.1946953125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_08/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,8,tset_mean_C,2.0,1200,0.8,0.6000000000000001,0.6000000000000001,0.4000000000000001,0.6000000000000001,0.4000000000000001,0.8,0.8,1.0,0.4000000000000001,172057.76556074905,0.0,55.432703125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_09/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,9,yoc_shift,4.0,1200,0.8,0.6000000000000001,0.6000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.8,0.8,1.0,0.4000000000000001,172057.76556074905,0.0,55.432703125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_10/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,10,shadingFactor,6.0,1200,0.8,0.6000000000000001,0.6000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,1.0,0.8,1.0,0.4000000000000001,168735.17890388725,0.0,55.432703125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_02/point_11/seed_1200/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,2,11,baseACH,5.0,1200,0.2,1.0,0.8,0.2,0.2,0.2,0.8,0.6000000000000001,0.4000000000000001,0.4000000000000001,185605.67343141555,0.0,55.76272265625,0.0,0.6000000000000001,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_03/point_00/seed_1300/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,3,0,,,1300,0.4,0.8,0.4,0.2,0.2,0.2,0.6000000000000001,0.4,0.4,0.6000000000000001,186840.25434054754,0.0,54.512,0.0,,
