region,assigned_zone,iou,coverage,fragmentation,purity,gt_area,pred_area,area_error_percent,centroid_distance,similarity_score,building_id
S0,0,0.7821852255268383,1.0000000000000002,1,0.8015839179443182,13.031852228569736,15.769718999536597,21.00903787847312,0.0646241,0.836954416,8
A0,2,0.9232983299560552,1.0000000000000002,1,0.9232983299560552,107.0924450660953,115.98899466350429,8.307355007085906,0.2075531513745252,0.9356919486759498,9
A1,1,0.9273893946404382,1,1,0.9372953861662936,108.99457506792886,114.9759731,5.487794233549083,0.1590975252661957,0.9459977736046916,9
S0,0,0.5880057872191861,1,3,0.9774938580694424,21.909758908697533,13.36057026,39.02000329174483,0.2691077661649504,0.6897251912261072,9
A0,3,0.7880478837627476,0.9999999999999996,2,0.927046853,68.74845193832043,62.30427328020551,9.373561842376455,0.5331399441364304,0.8572615386720219,10
A1,2,0.5750602598709289,1.0000000000000002,2,0.6913088061063911,60.41921818305378,67.62393999781845,11.924553199176344,0.6828017190517318,0.7406487039612303,10
A2,1,0.7345206550262241,1.0000000000000002,2,0.814695673,67.07891771289403,72.60813499,8.242854044323433,0.498903262,0.834180611,10
S0,0,0.8757788457170763,1,2,0.9263948853989884,13.481482359606815,13.69804372406535,1.606361664703829,0.2083517365742632,0.928664725,10
A0,2,0.9381342909771392,1,1,0.9560202874457518,101.49170492596718,104.08489852846388,2.555079357853216,0.1277612802562797,0.9594854150875296,11
A1,1,0.9376827537097148,0.9999999999999988,1,0.961924732,103.78389232813797,105.0680549,1.2373428158252664,0.1132963059892465,0.9629156121655632,11
S0,0,0.632653847,1,3,0.7015880653512613,12.480571294770966,15.39768661069586,23.373251488472228,0.7014878491000057,0.7403565987198988,11
A0,2,0.7701823960850339,1.0000000000000002,2,0.8046276603973623,69.15662128642933,81.42288284364874,17.73693007125903,0.60395474,0.8256500043657717,12
A1,1,0.7751878291266772,0.9999999999999998,2,0.9197988949862156,81.93574187841607,74.05960599,9.612576527566222,0.9379776599964323,0.8401130317445122,12
S0,,0,1,1,0,9.933001048919426,0,100,,0,12
A0,1,0.9033798599940988,1.0000000000000004,1,0.9200577044458872,51.19069844760822,54.54410771608006,6.550817570703655,0.031430572,0.934527122,13
A1,2,0.9059552017993092,1,1,0.9108532653886092,50.03348401331678,54.606220737016365,9.139353003045954,0.1040541822317107,0.9275278638362467,13
S0,0,0.6594410566489521,1,3,0.8731974713272099,18.93724632129964,15.816027046734945,16.481906722912015,0.8996688152409601,0.7660240411361721,13
A0,2,0.9236600395913416,1.0000000000000002,1,0.9313098529524856,69.53943104545381,74.01024811585434,6.4291827,0.093378437,0.9434226021133112,14
A1,1,0.9266540954786924,1.0000000000000002,1,0.94321059,70.85673690598394,73.72634673,4.049875776907989,0.087026424,0.9510266977094238,14
S0,0,0.7035956284757457,1.0000000000000002,3,0.8897718899076386,14.930901152213451,12.934143646420605,13.37332211523505,0.5805729409206739,0.8038501854267684,14
A0,1,0.938354109,0.9999999999999996,1,0.970359838,93.23033044961622,92.81561094692184,0.4448332433171966,0.1932807573789232,0.963232952,15
A1,2,0.8833402410541824,0.9999999999999998,1,0.8872384079234052,82.68254389838512,92.72967506455278,12.15145385284147,0.4138037856406055,0.9009463912539724,15
S0,0,0.5742290273761408,0.9999999999999998,2,0.8412227897546967,18.38400666389005,14.074600490307452,23.441060767493926,0.8328316462785322,0.7076910706123722,15
A0,2,0.945942775,1.0000000000000002,1,0.965560353,74.11095254850085,75.14045150743499,1.3891320021293756,0.1338176057260215,0.966153117,16
A1,1,0.9456021530549304,1.0000000000000002,1,0.964816156,74.02352531036863,75.14045151,1.5088800387833203,0.1178092418897476,0.9660836453832632,16
S0,0,0.7597271027623993,1,1,0.7693568073266301,11.60126517702275,14.834769986390649,27.87200154490147,0.098240197,0.8077275425996666,16
A0,3,0.7602754154782118,0.9999999999999998,3,0.9262400816793984,84.21342135297039,73.57868655342125,12.628313431151229,0.5611581504722362,0.8345379703994219,17
A1,1,0.648659724,1,2,0.7243505149427287,58.822306983570655,69.94008903,18.90062226076189,1.0152962736690134,0.7516958995918774,17
A2,2,0.4505064202375093,1.0000000000000002,3,0.5920930324299699,46.53024775746835,51.33656933156964,10.329456226310011,1.3586918007721445,0.665462275,17
S0,0,0.3671464919037058,1,2,0.5354125655694727,12.052577119324503,12.12874209,0.6319392778916816,1.072494967832334,0.6551810235613154,17
A0,1,0.945439708,1,1,0.9586671071464692,68.90018076638053,70.83701748859862,2.811076401650253,0.07863598,0.9637262635919668,18
A1,2,0.9393613514269292,0.9999999999999998,1,0.9632832897386449,70.10644825500542,70.90415815650253,1.137855249199791,0.1398497553100831,0.9633397937077132,18
S0,0,0.8179851054942334,1,1,0.817985105,12.01000361251547,14.682423349577904,22.25161476452461,0.040984081,0.8523389138028102,18
A0,5,0.9136512200106066,1.0000000000000002,1,0.913686581,74.28609814,81.30025447115968,9.442084728305623,0.2279174340837625,0.9275224623324452,19
A1,4,0.8590817823776888,1.0000000000000002,2,0.9026249356228618,70.84936489274037,74.31928582263399,4.8976034367376045,0.3003546252723249,0.9097880169651922,19
A2,3,0.848728227,1,2,0.8977080064964557,69.71456223819861,72.96763288654677,4.666271355521337,0.5125320871691933,0.8998851331754234,19
