base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_ref,annual_heating_kWh_delta_vs_V2
DESHPDHK0000lce9,V5,0,,214949.47421192806,
DESHPDHK0000lce9,V5,5,,101832.2853737989,
DESHPDHK0000lce9,V5,6,,117326.76690892463,
DESHPDHK0000lce9,V5,7,,83517.59468545772,
DESHPDHK0000lce9,V5,4,,110413.73599261284,
DESHPDHK0000lce9,V6,11,,214218.80063948993,
DESHPDHK0000lce9,V6,18,,223275.82822217516,
DESHPDHK0000lce9,V6,17,,241868.78815080793,
DESHPDHK0000lce9,V6,16,,207956.6990704505,
DESHPDHK0000lce9,V6,15,,39769.81978014442,
DESHPDHK0000lce9,V6,19,,40609.687685082485,
DESHPDHK0000lce9,V6,13,,93693.72647146582,
DESHPDHK0000lce9,V6,12,,247592.21872712616,
DESHPDHK0000lce9,V6,10,,106324.62024281586,
DESHPDHK0000lce9,V6,14,,93517.17928196357,
DESHPDHK0000lce9,V6,8,,208225.68335572165,
DESHPDHK0000lce9,V6,7,,83517.59468545772,
DESHPDHK0000lce9,V6,6,,117326.76690892463,
DESHPDHK0000lce9,V6,5,,101832.2853737989,
DESHPDHK0000lce9,V6,4,,110413.73599261284,
DESHPDHK0000lce9,V6,3,,204166.00214817465,
DESHPDHK0000lce9,V6,2,,82524.85032566874,
DESHPDHK0000lce9,V6,1,,227410.62432925074,
DESHPDHK0000lce9,V6,0,,214949.47421192806,
DESHPDHK0000lce9,V6,9,,109977.58684096563,
DESHPDHK0000lce9,V7,12,239759.55009967004,247592.21872712616,-7832.668627456122
DESHPDHK0000lce9,V7,13,101002.44398680567,93693.72647146582,7308.717515339842
DESHPDHK0000lce9,V7,15,37922.838263197984,39769.81978014442,-1846.9815169464346
DESHPDHK0000lce9,V7,19,42490.807347605354,40609.687685082485,1881.1196625228695
DESHPDHK0000lce9,V7,17,240086.61639306016,241868.78815080793,-1782.1717577477684
DESHPDHK0000lce9,V7,18,219009.78142407103,223275.82822217516,-4266.046798104129
DESHPDHK0000lce9,V7,11,228472.31400288222,214218.80063948993,14253.513363392296
DESHPDHK0000lce9,V7,16,208640.27435314635,207956.6990704505,683.5752826958487
DESHPDHK0000lce9,V7,10,104402.25096117581,106324.62024281586,-1922.3692816400435
DESHPDHK0000lce9,V7,14,87791.44397152116,93517.17928196357,-5725.735310442411
DESHPDHK0000lce9,V7,8,231203.29261631265,208225.68335572165,22977.60926059101
DESHPDHK0000lce9,V7,7,94265.91624387972,83517.59468545772,10748.321558422002
DESHPDHK0000lce9,V7,6,107413.83058046119,117326.76690892463,-9912.936328463446
DESHPDHK0000lce9,V7,5,98838.04457556568,101832.2853737989,-2994.2407982332224
DESHPDHK0000lce9,V7,4,104223.29731621793,110413.73599261284,-6190.438676394915
DESHPDHK0000lce9,V7,3,199943.18155536032,204166.00214817465,-4222.820592814329
DESHPDHK0000lce9,V7,2,83229.75073820412,82524.85032566874,704.9004125353822
DESHPDHK0000lce9,V7,1,216766.78090493628,227410.62432925074,-10643.843424314458
DESHPDHK0000lce9,V7,0,210220.5757436971,214949.47421192806,-4728.898468230967
DESHPDHK0000lce9,V7,9,116412.751049935,109977.58684096563,6435.164208969378
DESHPDHK0000lce9,V8,11,232389.82413582885,214218.80063948993,18171.023496338923
DESHPDHK0000lce9,V8,12,250051.91856040308,247592.21872712616,2459.6998332769144
DESHPDHK0000lce9,V8,13,103585.27494758385,93693.72647146582,9891.548476118027
DESHPDHK0000lce9,V8,17,240395.3442206128,241868.78815080793,-1473.4439301951206
