base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_ref,annual_heating_kWh_delta_vs_V3
DESHPDHK0000lce9,V3,6,107092.46574479656,107092.46574479656,0.0
DESHPDHK0000lce9,V3,5,98589.63516470969,98589.63516470969,0.0
DESHPDHK0000lce9,V3,4,103484.79952811867,103484.79952811867,0.0
DESHPDHK0000lce9,V3,3,202281.0779792145,202281.0779792145,0.0
DESHPDHK0000lce9,V3,2,85164.86813850305,85164.86813850305,0.0
DESHPDHK0000lce9,V3,1,219400.53160757254,219400.53160757254,0.0
DESHPDHK0000lce9,V3,0,211208.16851903443,211208.16851903443,0.0
DESHPDHK0000lce9,V3,8,228440.96902856193,228440.96902856193,0.0
DESHPDHK0000lce9,V4,12,248154.26780848476,245949.07066050576,2205.1971479789936
DESHPDHK0000lce9,V4,13,104888.38847393806,102250.18339102615,2638.2050829119107
DESHPDHK0000lce9,V4,14,88580.39959212054,88352.29836206896,228.1012300515722
DESHPDHK0000lce9,V4,11,232013.1678107664,228002.52188108108,4010.645929685328
DESHPDHK0000lce9,V4,16,207440.9598783241,205423.2006514369,2017.7592268871958
DESHPDHK0000lce9,V4,17,238523.95683933378,236333.32959979345,2190.6272395403357
DESHPDHK0000lce9,V4,18,217845.01763023844,217218.945642986,626.0719872524496
DESHPDHK0000lce9,V4,15,38886.43902311446,38238.22113624841,648.2178868660485
DESHPDHK0000lce9,V4,10,107845.80205117683,106187.02631925147,1658.7757319253578
DESHPDHK0000lce9,V4,19,43842.47602922077,42847.21947758309,995.2565516376853
DESHPDHK0000lce9,V4,8,234121.36543109477,228440.96902856193,5680.396402532846
DESHPDHK0000lce9,V4,0,211895.7581373341,211208.16851903443,687.5896182996803
DESHPDHK0000lce9,V4,1,218540.79675274008,219400.53160757254,-859.7348548324662
DESHPDHK0000lce9,V4,2,86579.5775858005,85164.86813850305,1414.7094472974568
DESHPDHK0000lce9,V4,3,203788.81320633518,202281.0779792145,1507.735227120691
DESHPDHK0000lce9,V4,9,120518.54262833305,117806.03689608896,2712.5057322440844
DESHPDHK0000lce9,V4,5,98531.56829510823,98589.63516470969,-58.0668696014618
DESHPDHK0000lce9,V4,6,106021.221624702,107092.46574479656,-1071.2441200945614
DESHPDHK0000lce9,V4,7,96411.81607749703,93866.67564116135,2545.140436335685
DESHPDHK0000lce9,V4,4,104069.0410245222,103484.79952811867,584.241496403527
DESHPDHK0000lce9,V5,11,,228002.52188108108,
DESHPDHK0000lce9,V5,19,,42847.21947758309,
DESHPDHK0000lce9,V5,18,,217218.945642986,
DESHPDHK0000lce9,V5,17,,236333.32959979345,
DESHPDHK0000lce9,V5,16,,205423.2006514369,
DESHPDHK0000lce9,V5,15,,38238.22113624841,
DESHPDHK0000lce9,V5,14,,88352.29836206896,
DESHPDHK0000lce9,V5,13,,102250.18339102615,
DESHPDHK0000lce9,V5,12,,245949.07066050576,
DESHPDHK0000lce9,V5,10,,106187.02631925147,
DESHPDHK0000lce9,V5,9,,117806.03689608896,
DESHPDHK0000lce9,V5,8,,228440.96902856193,
DESHPDHK0000lce9,V5,1,,219400.53160757254,
DESHPDHK0000lce9,V5,2,,85164.86813850305,
DESHPDHK0000lce9,V5,3,,202281.0779792145,
DESHPDHK0000lce9,V5,0,,211208.16851903443,
DESHPDHK0000lce9,V5,5,,98589.63516470969,
DESHPDHK0000lce9,V5,6,,107092.46574479656,
DESHPDHK0000lce9,V5,7,,93866.67564116135,
DESHPDHK0000lce9,V5,4,,103484.79952811867,
DESHPDHK0000lce9,V6,11,,228002.52188108108,
DESHPDHK0000lce9,V6,18,,217218.945642986,
DESHPDHK0000lce9,V6,17,,236333.32959979345,
DESHPDHK0000lce9,V6,16,,205423.2006514369,
DESHPDHK0000lce9,V6,15,,38238.22113624841,
DESHPDHK0000lce9,V6,19,,42847.21947758309,
DESHPDHK0000lce9,V6,13,,102250.18339102615,
DESHPDHK0000lce9,V6,12,,245949.07066050576,
DESHPDHK0000lce9,V6,10,,106187.02631925147,
DESHPDHK0000lce9,V6,14,,88352.29836206896,
DESHPDHK0000lce9,V6,8,,228440.96902856193,
DESHPDHK0000lce9,V6,7,,93866.67564116135,
DESHPDHK0000lce9,V6,6,,107092.46574479656,
DESHPDHK0000lce9,V6,5,,98589.63516470969,
DESHPDHK0000lce9,V6,4,,103484.79952811867,
DESHPDHK0000lce9,V6,3,,202281.0779792145,
DESHPDHK0000lce9,V6,2,,85164.86813850305,
DESHPDHK0000lce9,V6,1,,219400.53160757254,
DESHPDHK0000lce9,V6,0,,211208.16851903443,
DESHPDHK0000lce9,V6,9,,117806.03689608896,
DESHPDHK0000lce9,V7,12,239759.55009967004,245949.07066050576,-6189.520560835721
DESHPDHK0000lce9,V7,13,101002.44398680567,102250.18339102615,-1247.7394042204833
DESHPDHK0000lce9,V7,15,37922.838263197984,38238.22113624841,-315.3828730504247
DESHPDHK0000lce9,V7,19,42490.807347605354,42847.21947758309,-356.41212997773255
DESHPDHK0000lce9,V7,17,240086.61639306016,236333.32959979345,3753.286793266714
DESHPDHK0000lce9,V7,18,219009.78142407103,217218.945642986,1790.835781085043
DESHPDHK0000lce9,V7,11,228472.31400288222,228002.52188108108,469.792121801147
DESHPDHK0000lce9,V7,16,208640.27435314635,205423.2006514369,3217.0737017094507
DESHPDHK0000lce9,V7,10,104402.25096117581,106187.02631925147,-1784.7753580756544
DESHPDHK0000lce9,V7,14,87791.44397152116,88352.29836206896,-560.8543905478
DESHPDHK0000lce9,V7,8,231203.29261631265,228440.96902856193,2762.323587750725
DESHPDHK0000lce9,V7,7,94265.91624387972,93866.67564116135,399.24060271837516
DESHPDHK0000lce9,V7,6,107413.83058046119,107092.46574479656,321.36483566462994
DESHPDHK0000lce9,V7,5,98838.04457556568,98589.63516470969,248.4094108559948
DESHPDHK0000lce9,V7,4,104223.29731621793,103484.79952811867,738.4977880992519
DESHPDHK0000lce9,V7,3,199943.18155536032,202281.0779792145,-2337.8964238541666
DESHPDHK0000lce9,V7,2,83229.75073820412,85164.86813850305,-1935.1174002989283
DESHPDHK0000lce9,V7,1,216766.78090493628,219400.53160757254,-2633.750702636258
DESHPDHK0000lce9,V7,0,210220.5757436971,211208.16851903443,-987.5927753373398
DESHPDHK0000lce9,V7,9,116412.751049935,117806.03689608896,-1393.2858461539581
DESHPDHK0000lce9,V8,11,232389.82413582885,228002.52188108108,4387.302254747774
DESHPDHK0000lce9,V8,12,250051.91856040308,245949.07066050576,4102.847899897315
DESHPDHK0000lce9,V8,13,103585.27494758385,102250.18339102615,1335.0915565577016
DESHPDHK0000lce9,V8,17,240395.3442206128,236333.32959979345,4062.014620819362
DESHPDHK0000lce9,V8,15,39782.34632076481,38238.22113624841,1544.1251845164006
DESHPDHK0000lce9,V8,16,209818.58354599602,205423.2006514369,4395.382894559123
DESHPDHK0000lce9,V8,10,107529.92366083647,106187.02631925147,1342.897341585005
DESHPDHK0000lce9,V8,14,89832.05500913232,88352.29836206896,1479.756647063361
DESHPDHK0000lce9,V8,9,118821.80565800889,117806.03689608896,1015.7687619199278
DESHPDHK0000lce9,V8,4,105236.54233274411,103484.79952811867,1751.7428046254354
DESHPDHK0000lce9,V8,7,97727.50759110467,93866.67564116135,3860.8319499433273
DESHPDHK0000lce9,V8,6,108434.7869231812,107092.46574479656,1342.3211783846345
DESHPDHK0000lce9,V8,5,99785.71844339588,98589.63516470969,1196.0832786861865
DESHPDHK0000lce9,V8,3,207108.04273002912,202281.0779792145,4826.96475081463
DESHPDHK0000lce9,V8,2,86726.53894016038,85164.86813850305,1561.6708016573248
DESHPDHK0000lce9,V8,1,223822.393445453,219400.53160757254,4421.861837880453
DESHPDHK0000lce9,V8,0,215729.88492548047,211208.16851903443,4521.716406446038
DESHPDHK0000lce9,V8,18,222055.40945740519,217218.945642986,4836.4638144191995
DESHPDHK0000lce9,V8,8,232518.26577906715,228440.96902856193,4077.296750505222
DESHPDHK0000lce9,V8,19,44462.15015945694,42847.21947758309,1614.930681873855
