base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_meanTair_gt_26C_mean,overheating_hours_meanTair_gt_26C_std,overheating_hours_meanTair_gt_26C_min,overheating_hours_meanTair_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max,building_id,weather_key,wwr_factor,gains_scale,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,n_zones
DESHPDHK0000lce9,V7,44,92556.80686563803,1781.8462946635502,90574.66639875564,94597.77504604071,49.121966308593755,0.5163802136039369,48.663000244140626,49.7109970703125,1897.75,18.0992633367586,1880.0,1923.0,3.717088189684029,0.13757049891869969,3.521260664188458,3.827979392731058,DESHPDHK0000lce9_7,TRY_A,1.0350578288710848,0.8682371874147545,5,293.7780052002691,1.4675831588133978,standard,True,10
DESHPDHK0000lce9,V7,38,230850.72359477053,1823.1572051454618,229125.01468004799,233069.74516578086,86.0284501953125,0.13768417336948643,85.84683740234375,86.14320263671875,24.0,3.829708431025353,21.0,29.0,3.4057289814108134,0.04680836096965197,3.3397131803277667,3.449889293749465,DESHPDHK0000lce9_7,TRY_B,1.0877851823803746,0.9728372159100415,5,294.62061222358807,1.151285285305705,standard,True,10
DESHPDHK0000lce9,V7,32,88806.13828861166,1503.9009476471174,87740.25895180658,90986.62874698758,47.96152990722656,0.4535221165543865,47.69049609375,48.63896044921875,1973.0,15.769168230019849,1956.0,1994.0,3.966700681580377,0.1218797423692251,3.787233288001557,4.044302449325981,DESHPDHK0000lce9_7,TRY_A,1.0867560756635983,0.9797446008575155,5,294.5612988226346,1.7354011315259665,standard,True,10
DESHPDHK0000lce9,V7,59,93039.27630157699,1685.3209769338303,91510.55469969707,95221.09033085665,48.1925062866211,1.0157877972707046,47.378668212890624,49.4867470703125,1991.0,15.937377450509228,1971.0,2010.0,2.0138879877671014,0.10857042777208249,1.8526675909325527,2.08596302942929,DESHPDHK0000lce9_7,TRY_A,1.1074589967670627,0.8430963783823586,5,294.33108738581615,0.6377921581658856,standard,True,10
DESHPDHK0000lce9,V7,47,107922.07389742527,2088.9128326400414,105995.51560241151,110425.41621432004,50.38778460693359,0.5542642714265966,49.8856240234375,50.99553173828125,1795.75,18.89223826513597,1777.0,1821.0,4.39669514605885,0.1292943864991113,4.203022544398426,4.469034474266948,DESHPDHK0000lce9_7,TRY_A,0.809121548411879,1.183423685296578,5,294.2627506937877,1.6532412936842737,standard,True,10
DESHPDHK0000lce9,V7,48,203156.92776746536,2145.7331904494067,201149.15440481418,206075.49122427325,77.4562244873047,0.1716483041998021,77.21269580078125,77.58071875,9.75,1.707825127659933,8.0,12.0,2.11652658073043,0.03278002886231514,2.0694954328620807,2.145486954235211,DESHPDHK0000lce9_7,TRY_B,0.9929213747771601,1.1130940909001144,5,293.9632629879993,0.6026605184239517,standard,True,10
DESHPDHK0000lce9,V7,49,250489.63563561003,2315.1772702616604,247752.36388146153,253132.95546973124,85.96861962890625,0.13594079479272847,85.76797021484376,86.0530576171875,7.5,1.2909944487358056,6.0,9.0,3.813013635641296,0.03499738656911036,3.7630040865758,3.8439504385892995,DESHPDHK0000lce9_7,TRY_B,0.8330919999689754,0.9946633323352642,5,294.21800018280095,1.3193801899972133,standard,True,10
DESHPDHK0000lce9,V7,50,98003.87142548252,2162.8454161750183,95695.08120610088,100758.99651986928,49.91635430908203,0.6300490652869326,49.28880810546875,50.48986083984375,1926.5,20.04162335407653,1901.0,1950.0,3.590456253398351,0.150346843585595,3.3735936520483625,3.7205698278692947,DESHPDHK0000lce9_7,TRY_A,0.9962827977418084,1.175130581989993,5,294.2670894498206,1.499831765013579,standard,True,10
DESHPDHK0000lce9,V7,51,220250.12945600486,2152.683285583816,218177.06243381623,223039.1844261238,80.51422399902344,0.1611294118872463,80.29053564453125,80.64398828125,8.25,0.9574271077563381,7.0,9.0,1.1982128298754775,0.03286871385066913,1.1500577531493885,1.220839083405638,DESHPDHK0000lce9_7,TRY_B,1.0286912209504302,0.9893957604227815,4,293.7222896558904,0.5382447828929202,standard,True,10
DESHPDHK0000lce9,V7,52,104458.45800642214,1735.878244859569,102982.1597216696,106745.51428194415,50.12105853271485,0.5822820269023542,49.54221875,50.675271484375,1838.75,20.516253719104412,1817.0,1866.0,3.1367483453627605,0.12820424594897448,2.9470484872588747,3.2266394540390295,DESHPDHK0000lce9_7,TRY_A,0.9067902652367574,0.9326275989370209,5,294.3908715587036,1.6524004375023162,standard,True,10
