variant,building_id,base_building_group,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,25,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0025\seed_1,2021,8761,1.0,1,1.0785281500310944,0.9784625102296123,TRY_B,6,293.9776415177212,1.7293596643846005,standard,True,157850.03985390853,59.990078125,0.0,0.0,21.35968528166713,27.900415039062523,20.830010986328144,82.0,3582.0,0.0,0.0,82.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,25,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0025\seed_2,2021,8761,1.0,1,1.0785281500310944,0.9784625102296123,TRY_B,6,293.9776415177212,1.7293596643846005,standard,True,154091.8343793869,59.856140625,0.0,0.0,21.38318526937789,28.077661132812523,20.830010986328144,92.0,3562.0,0.0,0.0,92.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,25,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0025\seed_3,2021,8761,1.0,1,1.0785281500310944,0.9784625102296123,TRY_B,6,293.9776415177212,1.7293596643846005,standard,True,153706.09236079408,59.97253515625,0.0,0.0,21.381661139110406,28.025659179687523,20.830010986328144,91.0,3493.0,0.0,0.0,91.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,25,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0025\seed_4,2021,8761,1.0,1,1.0785281500310944,0.9784625102296123,TRY_B,6,293.9776415177212,1.7293596643846005,standard,True,155193.8200574284,59.63119140625,0.0,0.0,21.39272101108051,28.279077148437523,20.830010986328144,103.0,3600.0,0.0,0.0,103.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,27,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0027\seed_1,2021,8761,1.0,1,1.0521130372475553,0.9447250442213562,TRY_B,5,294.05300310542407,0.8628765821611922,standard,True,174316.04319344604,61.16250390625,0.0,0.0,21.291639257857106,27.373315429687523,20.89998779296877,21.0,2210.0,0.0,0.0,21.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,27,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0027\seed_2,2021,8761,1.0,1,1.0521130372475553,0.9447250442213562,TRY_B,5,294.05300310542407,0.8628765821611922,standard,True,170451.67204148864,61.00866796875,0.0,0.0,21.309834582674213,27.618981933593716,20.89998779296877,27.0,2207.0,0.0,0.0,27.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,16,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_2,2021,8761,1.0,1,0.8935757943461363,0.8233210966756265,TRY_B,5,293.7795466999801,0.8393237984710207,standard,True,170792.20032075502,58.3675859375,0.0,0.0,20.992323670192985,26.949639892578148,20.629998779296894,8.0,2799.0,0.0,0.0,8.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,27,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0027\seed_3,2021,8761,1.0,1,1.0521130372475553,0.9447250442213562,TRY_B,5,294.05300310542407,0.8628765821611922,standard,True,170051.67718487946,61.1368984375,0.0,0.0,21.30672817815864,27.536676025390648,20.89998779296877,23.0,2197.0,0.0,0.0,23.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,12,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_3,2021,8761,1.0,1,1.0214317602631984,1.0236828642981655,TRY_B,5,294.6250130173052,1.1492705082649117,standard,True,181421.90001010348,66.0794453125,0.0,0.0,21.801318607389124,27.509759521484398,21.48000488281252,28.0,3434.0,0.0,0.0,28.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,12,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_1,2021,8761,1.0,1,1.0214317602631984,1.0236828642981655,TRY_B,5,294.6250130173052,1.1492705082649117,standard,True,186020.57414860153,66.0967734375,0.0,0.0,21.788644919489627,27.334130859375023,21.48000488281252,23.0,3480.0,0.0,0.0,23.0
